ID	内码	字符	五笔86	序级86	一简86	二简86	三简86	容错86	五笔98	序级98	一简98	二简98	三简98	容错98	笔顺编号	笔顺容错	百万分比
19745	F4ED	繇	ermi	2	.	.	.	.	etfi	2	.	.	.	.	34433112523554234	.	3 
19746	F4EE	纛	gxfi	2	.	.	gxf	gxyi	gxhi	2	.	.	gxh	.	112155212511112343554234	.	1 
19747	F4EF	麸	gqfw	2	.	.	.	.	gqgy	2	.	.	.	.	11213541134	.	0 
19748	F4F0	麴	fwwo	2	.	.	.	swwo	swwo	2	.	.	.	fwwo	1234343435435431234	.	0 
19749	F4F1	赳	fhnh	2	.	.	.	.	fhnh	2	.	.	.	.	121213452	.	2 
19750	F4F2	趄	fheg	2	.	.	fhe	.	fheg	2	.	.	fhe	.	121213425111	.	1 
19751	F4F3	趔	fhgj	2	.	.	.	.	fhgj	2	.	.	.	.	1212134135422	.	1 
19752	F4F4	趑	fhuw	2	.	.	.	.	fhuw	2	.	.	.	.	1212134413534	.	0 
19753	F4F5	趱	fhtm	2	.	.	fht	.	fhtm	2	.	.	fht	.	12121343121353121352534	.	1 
19754	F4F6	赧	fobc	2	.	.	.	.	fobc	2	.	.	.	.	12132345254	.	3 
19755	F4F7	赭	fofj	2	.	.	.	.	fofj	2	.	.	.	.	121323412132511	.	1 
19756	F4F8	豇	gkua	2	.	.	.	.	gkua	2	.	.	.	.	1251431121	.	0 
19757	F4F9	豉	gkuc	2	.	.	.	.	gkuc	2	.	.	.	.	12514311254	.	0 
19758	F4FA	酊	sgsh	2	.	.	sgs	.	sgsh	2	.	.	sgs	.	125351112	.	2 
19759	F4FB	酐	sgfh	2	.	.	.	.	sgfh	2	.	.	.	.	1253511112	.	0 
19760	F4FC	酎	sgfy	2	.	.	.	.	sgfy	2	.	.	.	.	1253511124	.	0 
19761	F4FD	酏	sgbn	2	.	.	sgb	.	sgbn	2	.	.	sgb	.	1253511525	.	0 
19762	F4FE	酤	sgdg	2	.	.	.	.	sgdg	2	.	.	.	.	125351112251	.	0 
.	F4FF	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F500	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F501	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F502	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F503	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F504	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F505	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F506	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F507	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F508	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F509	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F50A	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F50B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F50C	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F50D	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F50E	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F50F	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F510	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F511	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F512	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F513	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F514	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F515	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F516	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F517	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F518	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F519	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F51A	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F51B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F51C	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F51D	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F51E	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F51F	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F520	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F521	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F522	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F523	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F524	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F525	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F526	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F527	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F528	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F529	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F52A	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F52B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F52C	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F52D	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F52E	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F52F	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F530	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F531	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F532	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F533	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
.	F534	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0 
