ID	UNICODE	类别	名称	字形.	五笔86版	容错86-1	容错86-2	五笔98版	容错98-1	容错98-2
1	1D300	太玄经符号	养	𝍖.	udyj	dddd	dyxc			
2	1D301	太玄经符号	勤	𝍕.	akgl	dddf	dyxc			
3	1D302	太玄经符号	难	𝍔.	cwyg	dddg	dyxc			
4	1D303	太玄经符号	将	𝍓.	uqfy	ddfd	dyxc			
5	1D304	太玄经符号	驯	𝍒.	ckh	ddff	dyxc			
6	1D305	太玄经符号	剧	𝍑.	ndjh	ddfg	dyxc			
7	1D306	太玄经符号	失	𝍐.	rwi	ddgd	dyxc			
8	1D307	太玄经符号	门	𝍏.	uyhn	ddgf	dyxc			
9	1D308	太玄经符号	成	𝍎.	dnnt	ddgg	dyxc			
10	1D309	太玄经符号	昆	𝍍.	jxxb	dfdd	dyxc			
11	1D30A	太玄经符号	永	𝍌.	ynii	dfdf	dyxc			
12	1D30B	太玄经符号	度	𝍋.	yaci	dfdg	dyxc			
13	1D30C	太玄经符号	常	𝍊.	ipkh	dffd	dyxc			
14	1D30D	太玄经符号	唐	𝍉.	yvhk	dfff	dyxc			
15	1D30E	太玄经符号	逃	𝍈.	iqpv	dffg	dyxc			
16	1D30F	太玄经符号	礼	𝍇.	pynn	dfgd	dyxc			
17	1D310	太玄经符号	文	𝍆.	yygy	dfgf	dyxc			
18	1D311	太玄经符号	廓	𝍅.	yybb	dfgg	dyxc			
19	1D312	太玄经符号	事	𝍄.	gkvh	dgdd	dyxc			
20	1D313	太玄经符号	务	𝍃.	tlr	dgdf	dyxc			
21	1D314	太玄经符号	争	𝍂.	qvhj	dgdg	dyxc			
22	1D315	太玄经符号	乐	𝍁.	qii	dgfd	dyxc			
23	1D316	太玄经符号	夷	𝍀.	gxwi	dgff	dyxc			
24	1D317	太玄经符号	格	𝌿.	stkg	dgfg	dyxc			
25	1D318	太玄经符号	释	𝌾.	toch	dggd	dyxc			
26	1D319	太玄经符号	进	𝌽.	fjpk	dggf	dyxc			
27	1D31A	太玄经符号	从	𝌼.	wwy	dggg	dyxc			
28	1D31B	太玄经符号	坚	𝌻.	jcff	fddd	dyxc			
29	1D31C	太玄经符号	止	𝌺.	hhhg	fddf	dyxc			
30	1D31D	太玄经符号	割	𝌹.	pdhj	fddg	dyxc			
31	1D31E	太玄经符号	穷	𝌸.	pwlb	fdfd	dyxc			
32	1D31F	太玄经符号	瞢	𝌷.	alph	fdff	dyxc			
33	1D320	太玄经符号	晦	𝌶.	jtxu	fdfg	dyxc			
34	1D321	太玄经符号	去	𝌵.	fcu	fdgd	dyxc			
35	1D322	太玄经符号	内	𝌴.	mwi	fdgf	dyxc			
36	1D323	太玄经符号	沈	𝌳.	ipqn	fdgg	dyxc			
37	1D324	太玄经符号	大	𝌲.	dddd	ffdd	dyxc			
38	1D325	太玄经符号	灶	𝌱.	ofg	ffdf	dyxc			
39	1D326	太玄经符号	遇	𝌰.	jmhp	ffdg	dyxc			
40	1D327	太玄经符号	迎	𝌯.	qbpk	fffd	dyxc			
41	1D328	太玄经符号	应	𝌮.	yid	ffff	dyxc			
42	1D329	太玄经符号	法	𝌭.	ifcy	fffg	dyxc			
43	1D32A	太玄经符号	居	𝌬.	ndd	ffgd	dyxc			
44	1D32B	太玄经符号	盛	𝌫.	dnnl	ffgf	dyxc			
45	1D32C	太玄经符号	睟	𝌪.	hywf	ffgg	dyxc			
46	1D32D	太玄经符号	徯	𝌩.	texd	fgdd	dyxc			
47	1D32E	太玄经符号	耎	𝌨.	dmjd	fgdf	dyxc			
48	1D32F	太玄经符号	交	𝌧.	uqu	fgdg	dyxc			
49	1D330	太玄经符号	达	𝌦.	dpi	fgfd	dyxc			
50	1D331	太玄经符号	锐	𝌥.	qukq	fgff	dyxc			
51	1D332	太玄经符号	增	𝌤.	fulj	fgfg	dyxc			
52	1D333	太玄经符号	童	𝌣.	ujff	fggd	dyxc			
53	1D334	太玄经符号	差	𝌢.	udaf	fggf	dyxc			
54	1D335	太玄经符号	羡	𝌡.	uguw	fggg	dyxc			
55	1D336	太玄经符号	视	𝌠.	pymq	gddd	dyxc			
56	1D337	太玄经符号	疑	𝌟.	xtdh	gddf	dyxc			
57	1D338	太玄经符号	饰	𝌞.	qnth	gddg	dyxc			
58	1D339	太玄经符号	积	𝌝.	tkwy	gdfd	dyxc			
59	1D33A	太玄经符号	聚	𝌜.	bcti	gdff	dyxc			
60	1D33B	太玄经符号	翕	𝌛.	wgkn	gdfg	dyxc			
61	1D33C	太玄经符号	守	𝌚.	pfu	gdgd	dyxc			
62	1D33D	太玄经符号	唫	𝌙.	kqg	gdgf	dyxc			
63	1D33E	太玄经符号	减	𝌘.	udgt	gdgg	dyxc			
64	1D33F	太玄经符号	疆	𝌗.	xfgg	gfdd	dyxc			
65	1D340	太玄经符号	敛	𝌖.	wgit	gfdf	dyxc			
66	1D341	太玄经符号	亲	𝌕.	usu	gfdg	dyxc			
67	1D342	太玄经符号	密	𝌔.	pntm	gffd	dyxc			
68	1D343	太玄经符号	众	𝌓.	wwwu	gfff	dyxc			
69	1D344	太玄经符号	装	𝌒.	ufye	gffg	dyxc			
70	1D345	太玄经符号	毅	𝌑.	uemc	gfgd	dyxc			
71	1D346	太玄经符号	断	𝌐.	onrh	gfgf	dyxc			
72	1D347	太玄经符号	更	𝌏.	gjqi	gfgg	dyxc			
73	1D348	太玄经符号	狩	𝌎.	qtpf	ggdd	dyxc			
74	1D349	太玄经符号	干	𝌍.	fggh	ggdf	dyxc			
75	1D34A	太玄经符号	上	𝌌.	hhgg	ggdg	dyxc			
76	1D34B	太玄经符号	戾	𝌋.	yndi	ggfd	dyxc			
77	1D34C	太玄经符号	少	𝌊.	itr	ggff	dyxc			
78	1D34D	太玄经符号	闲	𝌉.	usi	ggfg	dyxc			
79	1D34E	太玄经符号	礥	𝌈.	dahm	gggd	dyxc			
80	1D34F	太玄经符号	周	𝌇.	mfkd	gggf	dyxc			
81	1D350	太玄经符号	中	𝌆.	khk	gggg	dyxc			
82	1D351	太玄经符号	地地	𝌅.	fbfb	ddll	dyxc			
83	1D352	太玄经符号	地人	𝌄.	fbww	dfll	dyxc			
84	1D353	太玄经符号	地天	𝌃.	fbgd	dgll	dyxc			
85	1D354	太玄经符号	人地	𝌂.	wwfb	fdll	dyxc			
86	1D355	太玄经符号	天地	𝌁.	gdfb	gdll	dyxc			
87	1D356	太玄经符号	地	𝌀.	fbn	dlll	dyxc			
88	.	.	.	.	.	.	.			
89	.	.	.	.	.	.	.			
90	.	.	.	.	.	.	.			
91	.	.	.	.	.	.	.			
92	.	.	.	.	.	.	.			
93	.	.	.	.	.	.	.			
94	.	.	.	.	.	.	.			
95	.	.	.	.	.	.	.			
96	.	.	.	.	.	.	.			
97	.	.	.	.	.	.	.			
98	.	.	.	.	.	.	.			
99	.	.	.	.	.	.	.			
100	.	.	.	.	.	.	.			
101	.	.	.	.	.	.	.			
102	.	.	.	.	.	.	.			
103	.	.	.	.	.	.	.			
104	.	.	.	.	.	.	.			
105	.	.	.	.	.	.	.			
106	.	.	.	.	.	.	.			
107	.	.	.	.	.	.	.			
108	.	.	.	.	.	.	.			
109	.	.	.	.	.	.	.			
110	.	.	.	.	.	.	.			
111	.	.	.	.	.	.	.			
112	.	.	.	.	.	.	.			
113	.	.	.	.	.	.	.			
114	.	.	.	.	.	.	.			
115	.	.	.	.	.	.	.			
116	.	.	.	.	.	.	.			
117	.	.	.	.	.	.	.			
118	.	.	.	.	.	.	.			
119	.	.	.	.	.	.	.			
120	.	.	.	.	.	.	.			
121	.	.	.	.	.	.	.			
122	.	.	.	.	.	.	.			
123	.	.	.	.	.	.	.			
124	.	.	.	.	.	.	.			
125	.	.	.	.	.	.	.			
126	.	.	.	.	.	.	.			
127	.	.	.	.	.	.	.			
128	.	.	.	.	.	.	.			
129	0080	拉丁扩充与控制符	.	.	.	.	.			
130	0081	拉丁扩充与控制符	.	.	.	.	.			
131	0082	拉丁扩充与控制符	.	.	.	.	.			
132	0083	拉丁扩充与控制符	.	.	.	.	.			
133	0084	拉丁扩充与控制符	.	.	.	.	.			
134	0085	拉丁扩充与控制符	.	.	.	.	.			
135	0086	拉丁扩充与控制符	.	.	.	.	.			
136	0087	拉丁扩充与控制符	.	.	.	.	.			
137	0088	拉丁扩充与控制符	.	.	.	.	.			
138	0089	拉丁扩充与控制符	.	.	.	.	.			
139	008A	拉丁扩充与控制符	.	.	.	.	.			
140	008B	拉丁扩充与控制符	.	.	.	.	.			
141	008C	拉丁扩充与控制符	.	.	.	.	.			
142	008D	拉丁扩充与控制符	.	.	.	.	.			
143	008E	拉丁扩充与控制符	.	.	.	.	.			
144	008F	拉丁扩充与控制符	.	.	.	.	.			
145	0090	拉丁扩充与控制符	.	.	.	.	.			
146	0091	拉丁扩充与控制符	.	.	.	.	.			
147	0092	拉丁扩充与控制符	.	.	.	.	.			
148	0093	拉丁扩充与控制符	.	.	.	.	.			
149	0094	拉丁扩充与控制符	.	.	.	.	.			
150	0095	拉丁扩充与控制符	.	.	.	.	.			
151	0096	拉丁扩充与控制符	.	.	.	.	.			
152	0097	拉丁扩充与控制符	.	.	.	.	.			
153	0098	拉丁扩充与控制符	.	.	.	.	.			
154	0099	拉丁扩充与控制符	.	.	.	.	.			
155	009A	拉丁扩充与控制符	.	.	.	.	.			
156	009B	拉丁扩充与控制符	.	.	.	.	.			
157	009C	拉丁扩充与控制符	.	.	.	.	.			
158	009D	拉丁扩充与控制符	.	.	.	.	.			
159	009E	拉丁扩充与控制符	.	.	.	.	.			
160	009F	拉丁扩充与控制符	.	.	.	.	.			
161	00A0	拉丁扩充与控制符	.	.	.	.	.			
162	00A1	拉丁扩充与控制符	叹号	¡	kckg	.	.			
163	00A2	拉丁扩充与控制符	分	¢	wvr	.	.			
164	00A3	拉丁扩充与控制符	镑	£	qupy	.	.			
165	00A4	拉丁扩充与控制符	货币	¤	wxtm	.	.			
166	00A5	拉丁扩充与控制符	元	¥	fqb	.	.			
167	00A6	拉丁扩充与控制符	竖线	¦	hcxg	.	.			
168	00A7	拉丁扩充与控制符	章节	§	abj	ssll	.			
169	00A8	拉丁扩充与控制符	点	¨	hkou	.	.			
170	00A9	拉丁扩充与控制符	版权	©	thsc	ccll	.			
171	00AA	拉丁扩充与控制符	a	ª	.	.	.			
172	00AB	拉丁扩充与控制符	书名号	«	nqkg	.	.			
173	00AC	拉丁扩充与控制符		¬	.	.	.			
174	00AD	拉丁扩充与控制符	横	­	samw	.	.			
175	00AE	拉丁扩充与控制符	注册	®	iymm	rrll	.			
176	00AF	拉丁扩充与控制符	横	¯	samw	.	.			
177	00B0	拉丁扩充与控制符	度	°	yaci	.	.			
178	00B1	拉丁扩充与控制符	加减	±	lkud	.	.			
179	00B2	拉丁扩充与控制符	平方	²	fgg	.	.			
180	00B3	拉丁扩充与控制符	立方	³	dggg	.	.			
181	00B4	拉丁扩充与控制符	引号	´	.	.	.			
182	00B5	拉丁扩充与控制符	mu	µ	mull	.	.			
183	00B6	拉丁扩充与控制符	段落	¶	wdai	.	.			
184	00B7	拉丁扩充与控制符	点	·	hkou	.	.			
185	00B8	拉丁扩充与控制符	逗号	¸	gkkg	.	.			
186	00B9	拉丁扩充与控制符	一次方	¹	ggll	.	.			
187	00BA	拉丁扩充与控制符	o	º	ooll	.	.			
188	00BB	拉丁扩充与控制符	书名号	»	nqkg	.	.			
189	00BC	拉丁扩充与控制符	四分之一	¼	lwpg	.	.			
190	00BD	拉丁扩充与控制符	二分之一	½	fwpg	.	.			
191	00BE	拉丁扩充与控制符	四分之三	¾	lwpd	.	.			
192	00BF	拉丁扩充与控制符	问号 	¿	ukkg	.	.			
193	00C0	拉丁扩充与控制符	a	À	.	.	.			
194	00C1	拉丁扩充与控制符	a	Á	.	.	.			
195	00C2	拉丁扩充与控制符	a	Â	.	.	.			
196	00C3	拉丁扩充与控制符	a	Ã	.	.	.			
197	00C4	拉丁扩充与控制符	a	Ä	.	.	.			
198	00C5	拉丁扩充与控制符	a	Å	.	.	.			
199	00C6	拉丁扩充与控制符	a	Æ	.	.	.			
200	00C7	拉丁扩充与控制符	c	Ç	.	.	.			
201	00C8	拉丁扩充与控制符	e	È	.	.	.			
202	00C9	拉丁扩充与控制符	e	É	.	.	.			
203	00CA	拉丁扩充与控制符	e	Ê	.	.	.			
204	00CB	拉丁扩充与控制符	e	Ë	.	.	.			
205	00CC	拉丁扩充与控制符	I	Ì	.	.	.			
206	00CD	拉丁扩充与控制符	i	Í	.	.	.			
207	00CE	拉丁扩充与控制符	i	Î	.	.	.			
208	00CF	拉丁扩充与控制符	i	Ï	.	.	.			
209	00D0	拉丁扩充与控制符	d	Ð	.	.	.			
210	00D1	拉丁扩充与控制符	n	Ñ	.	.	.			
211	00D2	拉丁扩充与控制符	o	Ò	.	.	.			
212	00D3	拉丁扩充与控制符	o	Ó	.	.	.			
213	00D4	拉丁扩充与控制符	o	Ô	.	.	.			
214	00D5	拉丁扩充与控制符	o	Õ	.	.	.			
215	00D6	拉丁扩充与控制符	o	Ö	.	.	.			
216	00D7	拉丁扩充与控制符	乘	×	tuxv	.	.			
217	00D8	拉丁扩充与控制符	o	Ø	.	.	.			
218	00D9	拉丁扩充与控制符	u	Ù	.	.	.			
219	00DA	拉丁扩充与控制符	u	Ú	.	.	.			
220	00DB	拉丁扩充与控制符	u	Û	.	.	.			
221	00DC	拉丁扩充与控制符	u	Ü	.	.	.			
222	00DD	拉丁扩充与控制符	y	Ý	.	.	.			
223	00DE	拉丁扩充与控制符	p	Þ	.	.	.			
224	00DF	拉丁扩充与控制符	b	ß	.	.	.			
225	00E0	拉丁扩充与控制符	a	à	aall	.	.			
226	00E1	拉丁扩充与控制符	a	á	aall	.	.			
227	00E2	拉丁扩充与控制符	a	â	.	.	.			
228	00E3	拉丁扩充与控制符	a	ã	.	.	.			
229	00E4	拉丁扩充与控制符	a	ä	.	.	.			
230	00E5	拉丁扩充与控制符	a	å	.	.	.			
231	00E6	拉丁扩充与控制符	ae	æ	aall	.	.			
232	00E7	拉丁扩充与控制符	c	ç	ccll	.	.			
233	00E8	拉丁扩充与控制符	e	è	eell	.	.			
234	00E9	拉丁扩充与控制符	e	é	eell	.	.			
235	00EA	拉丁扩充与控制符	e	ê	eell	.	.			
236	00EB	拉丁扩充与控制符	e	ë	.	.	.			
237	00EC	拉丁扩充与控制符	i	ì	iill	.	.			
238	00ED	拉丁扩充与控制符	i	í	iill	.	.			
239	00EE	拉丁扩充与控制符	i	î	.	.	.			
240	00EF	拉丁扩充与控制符	i	ï	.	.	.			
241	00F0	拉丁扩充与控制符	t	ð	ttll	.	.			
242	00F1	拉丁扩充与控制符	n	ñ	.	.	.			
243	00F2	拉丁扩充与控制符	o	ò	ooll	.	.			
244	00F3	拉丁扩充与控制符	o	ó	ooll	.	.			
245	00F4	拉丁扩充与控制符	o	ô	.	.	.			
246	00F5	拉丁扩充与控制符	o	õ	.	.	.			
247	00F6	拉丁扩充与控制符	o	ö	.	.	.			
248	00F7	拉丁扩充与控制符	除	÷	bwty	.	.			
249	00F8	拉丁扩充与控制符	o	ø	.	.	.			
250	00F9	拉丁扩充与控制符	u	ù	uull	.	.			
251	00FA	拉丁扩充与控制符	u	ú	uull	.	.			
252	00FB	拉丁扩充与控制符	u	û	.	.	.			
253	00FC	拉丁扩充与控制符	u	ü	vvll	.	.			
254	00FD	拉丁扩充与控制符	y	ý	.	.	.			
255	00FE	拉丁扩充与控制符	p	þ	.	.	.			
256	00FF	拉丁扩充与控制符	y	ÿ	.	.	.			
257	0100	Latin Extended A	a	Ā	.	.	.			
258	0101	Latin Extended A	a	ā	aall	.	.			
259	0102	Latin Extended A	a	Ă	.	.	.			
260	0103	Latin Extended A	a	ă	.	.	.			
261	0104	Latin Extended A	a	Ą	.	.	.			
262	0105	Latin Extended A	a	ą	.	.	.			
263	0106	Latin Extended A	c	Ć	.	.	.			
264	0107	Latin Extended A	c	ć	.	.	.			
265	0108	Latin Extended A	c	Ĉ	.	.	.			
266	0109	Latin Extended A	c	ĉ	.	.	.			
267	010A	Latin Extended A	c	Ċ	.	.	.			
268	010B	Latin Extended A	c	ċ	.	.	.			
269	010C	Latin Extended A	c	Č	.	.	.			
270	010D	Latin Extended A	c	č	.	.	.			
271	010E	Latin Extended A	d	Ď	.	.	.			
272	010F	Latin Extended A	d	ď	.	.	.			
273	0110	Latin Extended A	d	Đ	.	.	.			
274	0111	Latin Extended A	d	đ	.	.	.			
275	0112	Latin Extended A	e	Ē	.	.	.			
276	0113	Latin Extended A	e	ē	eell	.	.			
277	0114	Latin Extended A	e	Ĕ	.	.	.			
278	0115	Latin Extended A	e	ĕ	.	.	.			
279	0116	Latin Extended A	e	Ė	.	.	.			
280	0117	Latin Extended A	e	ė	.	.	.			
281	0118	Latin Extended A	e	Ę	.	.	.			
282	0119	Latin Extended A	e	ę	.	.	.			
283	011A	Latin Extended A	e	Ě	.	.	.			
284	011B	Latin Extended A	e	ě	eell	.	.			
285	011C	Latin Extended A	g	Ĝ	.	.	.			
286	011D	Latin Extended A	g	ĝ	.	.	.			
287	011E	Latin Extended A	g	Ğ	.	.	.			
288	011F	Latin Extended A	g	ğ	.	.	.			
289	0120	Latin Extended A	g	Ġ	.	.	.			
290	0121	Latin Extended A	g	ġ	.	.	.			
291	0122	Latin Extended A	g	Ģ	.	.	.			
292	0123	Latin Extended A	g	ģ	.	.	.			
293	0124	Latin Extended A	h	Ĥ	.	.	.			
294	0125	Latin Extended A	h	ĥ	.	.	.			
295	0126	Latin Extended A	h	Ħ	.	.	.			
296	0127	Latin Extended A	h	ħ	.	.	.			
297	0128	Latin Extended A	i	Ĩ	.	.	.			
298	0129	Latin Extended A	i	ĩ	.	.	.			
299	012A	Latin Extended A	i	Ī	.	.	.			
300	012B	Latin Extended A	i	ī	iill	.	.			
301	012C	Latin Extended A	i	Ĭ	.	.	.			
302	012D	Latin Extended A	i	ĭ	.	.	.			
303	012E	Latin Extended A	i	Į	.	.	.			
304	012F	Latin Extended A	i	į	.	.	.			
305	0130	Latin Extended A	i	İ	.	.	.			
306	0131	Latin Extended A	i	ı	.	.	.			
307	0132	Latin Extended A	ij	Ĳ	.	.	.			
308	0133	Latin Extended A	ij	ĳ	.	.	.			
309	0134	Latin Extended A	j	Ĵ	.	.	.			
310	0135	Latin Extended A	j	ĵ	.	.	.			
311	0136	Latin Extended A	k	Ķ	.	.	.			
312	0137	Latin Extended A	k	ķ	.	.	.			
313	0138	Latin Extended A	k	ĸ	.	.	.			
314	0139	Latin Extended A	l	Ĺ	.	.	.			
315	013A	Latin Extended A	l	ĺ	.	.	.			
316	013B	Latin Extended A	l	Ļ	.	.	.			
317	013C	Latin Extended A	l	ļ	.	.	.			
318	013D	Latin Extended A	l	Ľ	.	.	.			
319	013E	Latin Extended A	l	ľ	.	.	.			
320	013F	Latin Extended A	l	Ŀ	.	.	.			
321	0140	Latin Extended A	l	ŀ	.	.	.			
322	0141	Latin Extended A	l	Ł	.	.	.			
323	0142	Latin Extended A	l	ł	.	.	.			
324	0143	Latin Extended A	n	Ń	.	.	.			
325	0144	Latin Extended A	n	ń	.	.	.			
326	0145	Latin Extended A	n	Ņ	.	.	.			
327	0146	Latin Extended A	n	ņ	.	.	.			
328	0147	Latin Extended A	n	Ň	.	.	.			
329	0148	Latin Extended A	n	ň	.	.	.			
330	0149	Latin Extended A	n	ŉ	.	.	.			
331	014A	Latin Extended A	n	Ŋ	.	.	.			
332	014B	Latin Extended A	n	ŋ	.	.	.			
333	014C	Latin Extended A	o	Ō	.	.	.			
334	014D	Latin Extended A	o	ō	ooll	.	.			
335	014E	Latin Extended A	o	Ŏ	.	.	.			
336	014F	Latin Extended A	o	ŏ	.	.	.			
337	0150	Latin Extended A	o	Ő	.	.	.			
338	0151	Latin Extended A	o	ő	.	.	.			
339	0152	Latin Extended A	oe	Œ	.	.	.			
340	0153	Latin Extended A	oe	œ	oell	.	.			
341	0154	Latin Extended A	r	Ŕ	.	.	.			
342	0155	Latin Extended A	r	ŕ	.	.	.			
343	0156	Latin Extended A	r	Ŗ	.	.	.			
344	0157	Latin Extended A	r	ŗ	.	.	.			
345	0158	Latin Extended A	r	Ř	.	.	.			
346	0159	Latin Extended A	r	ř	.	.	.			
347	015A	Latin Extended A	s	Ś	.	.	.			
348	015B	Latin Extended A	s	ś	.	.	.			
349	015C	Latin Extended A	s	Ŝ	.	.	.			
350	015D	Latin Extended A	s	ŝ	.	.	.			
351	015E	Latin Extended A	s	Ş	.	.	.			
352	015F	Latin Extended A	s	ş	.	.	.			
353	0160	Latin Extended A	s	Š	.	.	.			
354	0161	Latin Extended A	s	š	.	.	.			
355	0162	Latin Extended A	t	Ţ	.	.	.			
356	0163	Latin Extended A	t	ţ	.	.	.			
357	0164	Latin Extended A	t	Ť	.	.	.			
358	0165	Latin Extended A	t	ť	.	.	.			
359	0166	Latin Extended A	t	Ŧ	.	.	.			
360	0167	Latin Extended A	t	ŧ	.	.	.			
361	0168	Latin Extended A	u	Ũ	.	.	.			
362	0169	Latin Extended A	u	ũ	.	.	.			
363	016A	Latin Extended A	u	Ū	.	.	.			
364	016B	Latin Extended A	u	ū	uull	.	.			
365	016C	Latin Extended A	u	Ŭ	.	.	.			
366	016D	Latin Extended A	u	ŭ	.	.	.			
367	016E	Latin Extended A	u	Ů	.	.	.			
368	016F	Latin Extended A	u	ů	.	.	.			
369	0170	Latin Extended A	u	Ű	.	.	.			
370	0171	Latin Extended A	u	ű	.	.	.			
371	0172	Latin Extended A	u	Ų	.	.	.			
372	0173	Latin Extended A	u	ų	.	.	.			
373	0174	Latin Extended A	w	Ŵ	.	.	.			
374	0175	Latin Extended A	w	ŵ	.	.	.			
375	0176	Latin Extended A	y	Ŷ	.	.	.			
376	0177	Latin Extended A	y	ŷ	.	.	.			
377	0178	Latin Extended A	y	Ÿ	.	.	.			
378	0179	Latin Extended A	z	Ź	.	.	.			
379	017A	Latin Extended A	z	ź	.	.	.			
380	017B	Latin Extended A	z	Ż	.	.	.			
381	017C	Latin Extended A	z	ż	.	.	.			
382	017D	Latin Extended A	z	Ž	.	.	.			
383	017E	Latin Extended A	z	ž	.	.	.			
384	017F	Latin Extended A	l	ſ	.	.	.			
385	0180	Latin Extended B	b	ƀ	.	.	.			
386	0181	Latin Extended B	b	Ɓ	.	.	.			
387	0182	Latin Extended B	b	Ƃ	.	.	.			
388	0183	Latin Extended B	b	ƃ	.	.	.			
389	0184	Latin Extended B	b	Ƅ	.	.	.			
390	0185	Latin Extended B	b	ƅ	.	.	.			
391	0186	Latin Extended B	c	Ɔ	.	.	.			
392	0187	Latin Extended B	c	Ƈ	.	.	.			
393	0188	Latin Extended B	c	ƈ	.	.	.			
394	0189	Latin Extended B	d	Ɖ	.	.	.			
395	018A	Latin Extended B	d	Ɗ	.	.	.			
396	018B	Latin Extended B	d	Ƌ	.	.	.			
397	018C	Latin Extended B	d	ƌ	.	.	.			
398	018D	Latin Extended B	d	ƍ	.	.	.			
399	018E	Latin Extended B	e	Ǝ	.	.	.			
400	018F	Latin Extended B	e	Ə	.	.	.			
401	0190	Latin Extended B	e	Ɛ	.	.	.			
402	0191	Latin Extended B	f	Ƒ	.	.	.			
403	0192	Latin Extended B	f	ƒ	.	.	.			
404	0193	Latin Extended B	g	Ɠ	.	.	.			
405	0194	Latin Extended B	h	Ɣ	.	.	.			
406	0195	Latin Extended B	h	ƕ	.	.	.			
407	0196	Latin Extended B	i	Ɩ	.	.	.			
408	0197	Latin Extended B	i	Ɨ	.	.	.			
409	0198	Latin Extended B	k	Ƙ	.	.	.			
410	0199	Latin Extended B	k	ƙ	.	.	.			
411	019A	Latin Extended B	l	ƚ	.	.	.			
412	019B	Latin Extended B	l	ƛ	.	.	.			
413	019C	Latin Extended B	m	Ɯ	.	.	.			
414	019D	Latin Extended B	n	Ɲ	.	.	.			
415	019E	Latin Extended B	n	ƞ	.	.	.			
416	019F	Latin Extended B	o	Ɵ	.	.	.			
417	01A0	Latin Extended B	o	Ơ	.	.	.			
418	01A1	Latin Extended B	o	ơ	.	.	.			
419	01A2	Latin Extended B	o	Ƣ	.	.	.			
420	01A3	Latin Extended B	o	ƣ	.	.	.			
421	01A4	Latin Extended B	p	Ƥ	.	.	.			
422	01A5	Latin Extended B	p	ƥ	.	.	.			
423	01A6	Latin Extended B	r	Ʀ	.	.	.			
424	01A7	Latin Extended B	s	Ƨ	.	.	.			
425	01A8	Latin Extended B	s	ƨ	.	.	.			
426	01A9	Latin Extended B	s	Ʃ	.	.	.			
427	01AA	Latin Extended B	s	ƪ	.	.	.			
428	01AB	Latin Extended B	t	ƫ	.	.	.			
429	01AC	Latin Extended B	t	Ƭ	.	.	.			
430	01AD	Latin Extended B	t	ƭ	.	.	.			
431	01AE	Latin Extended B	t	Ʈ	.	.	.			
432	01AF	Latin Extended B	u	Ư	.	.	.			
433	01B0	Latin Extended B	u	ư	.	.	.			
434	01B1	Latin Extended B	u	Ʊ	.	.	.			
435	01B2	Latin Extended B	v	Ʋ	.	.	.			
436	01B3	Latin Extended B	y	Ƴ	.	.	.			
437	01B4	Latin Extended B	y	ƴ	.	.	.			
438	01B5	Latin Extended B	z	Ƶ	.	.	.			
439	01B6	Latin Extended B	z	ƶ	.	.	.			
440	01B7	Latin Extended B	l	Ʒ	.	.	.			
441	01B8	Latin Extended B	l	Ƹ	.	.	.			
442	01B9	Latin Extended B	l	ƹ	.	.	.			
443	01BA	Latin Extended B	l	ƺ	.	.	.			
444	01BB	Latin Extended B	l	ƻ	.	.	.			
445	01BC	Latin Extended B	l	Ƽ	.	.	.			
446	01BD	Latin Extended B	l	ƽ	.	.	.			
447	01BE	Latin Extended B	l	ƾ	.	.	.			
448	01BF	Latin Extended B	p	ƿ	.	.	.			
449	01C0	Latin Extended B		ǀ	.	.	.			
450	01C1	Latin Extended B		ǁ	.	.	.			
451	01C2	Latin Extended B		ǂ	.	.	.			
452	01C3	Latin Extended B		ǃ	.	.	.			
453	01C4	Latin Extended B	dz	Ǆ	.	.	.			
454	01C5	Latin Extended B	dz	ǅ	.	.	.			
455	01C6	Latin Extended B	dz	ǆ	.	.	.			
456	01C7	Latin Extended B	lj	Ǉ	.	.	.			
457	01C8	Latin Extended B	lj	ǈ	.	.	.			
458	01C9	Latin Extended B	lj	ǉ	.	.	.			
459	01CA	Latin Extended B	nj	Ǌ	.	.	.			
460	01CB	Latin Extended B	nj	ǋ	.	.	.			
461	01CC	Latin Extended B	jn	ǌ	.	.	.			
462	01CD	Latin Extended B	a	Ǎ	.	.	.			
463	01CE	Latin Extended B	a	ǎ	aall	.	.			
464	01CF	Latin Extended B	i	Ǐ	.	.	.			
465	01D0	Latin Extended B	i	ǐ	iill	.	.			
466	01D1	Latin Extended B	o	Ǒ	.	.	.			
467	01D2	Latin Extended B	o	ǒ	ooll	.	.			
468	01D3	Latin Extended B	u	Ǔ	.	.	.			
469	01D4	Latin Extended B	u	ǔ	uull	.	.			
470	01D5	Latin Extended B	u	Ǖ	.	.	.			
471	01D6	Latin Extended B	u	ǖ	vvll	.	.			
472	01D7	Latin Extended B	u	Ǘ	.	.	.			
473	01D8	Latin Extended B	u	ǘ	vvll	.	.			
474	01D9	Latin Extended B	u	Ǚ	.	.	.			
475	01DA	Latin Extended B	u	ǚ	vvll	.	.			
476	01DB	Latin Extended B	u	Ǜ	.	.	.			
477	01DC	Latin Extended B	u	ǜ	vvll	.	.			
478	01DD	Latin Extended B	e	ǝ	.	.	.			
479	01DE	Latin Extended B	a	Ǟ	.	.	.			
480	01DF	Latin Extended B	a	ǟ	.	.	.			
481	01E0	Latin Extended B	a	Ǡ	.	.	.			
482	01E1	Latin Extended B	a	ǡ	.	.	.			
